sid,peak_mjd,peak_mag,first_det_mjd,last_det_mjd,rise_time_days,fade_time_days,ra,dec,distance_Mpc
2,63188.22382,20.981,63188.22382,63188.22433,4.88591,4.88642,309.09525,-0.85665,860.01
8,63273.21374,15.158,63273.21374,63327.06440,44.02205,97.87271,46.12091,-0.53027,136.83
17,63303.28357,16.982,63303.28357,63337.35945,41.12452,75.20040,22.97421,-0.33218,73.18
27,63276.18736,14.220,63276.18736,63330.23292,29.98711,84.03267,15.76936,-0.42583,53.37
36,63239.21413,17.792,63239.21413,63300.21319,34.51054,95.50960,46.77174,-0.69348,138.62
40,63184.16103,22.204,63184.16103,63190.04396,7.39575,13.27868,157.37469,-0.91321,442.78
44,63329.36856,17.509,63329.36856,63330.33722,0.44862,1.41727,299.61353,0.03772,833.94
50,63304.20727,16.004,63304.20727,63338.10112,14.33075,48.22459,71.96695,-0.17597,207.91
67,63247.22732,21.659,63247.22732,63304.19757,40.97200,97.94226,109.42204,-0.68253,310.91
70,63241.31087,17.203,63241.31087,63334.99551,4.94537,98.63001,77.25048,-0.48553,222.44
75,63153.21501,16.760,63153.21501,63244.11966,2.72785,93.63250,101.29820,-1.20734,288.57
83,63278.30523,20.797,63278.30523,63306.18769,70.36350,98.24595,60.11025,-0.67075,175.30
85,63185.25662,15.821,63185.25662,63271.09012,14.15026,99.98377,32.41723,-0.96546,99.15
90,63332.35415,14.729,63332.35415,63417.12582,0.61045,85.38212,54.83236,0.05312,160.79
92,63305.35225,19.033,63305.35225,63367.22048,3.71520,65.58343,160.61626,-0.11120,451.69
97,63212.07816,15.350,63212.07816,63249.09006,17.37991,54.39181,31.55397,-0.76667,96.77
111,63330.20716,21.438,63330.20716,63335.22380,14.01780,19.03445,72.85081,-0.03167,210.34
116,63239.22278,22.071,63239.22278,63276.19399,22.05774,59.02895,273.06703,-0.60810,760.93
127,63249.23455,17.648,63249.23455,63336.99635,5.86074,93.62253,52.02871,-0.44281,153.08
130,63332.33832,18.299,63332.33832,63333.34663,44.21378,45.22209,61.41347,-0.18567,178.89
141,63184.15488,20.502,63184.15488,63213.14219,6.80410,35.79141,176.65452,-0.90801,495.80
144,63210.18675,19.948,63210.18675,63243.07933,22.46302,55.35560,170.45618,-0.82089,478.75
165,63179.24099,21.521,63179.24099,63217.27078,11.50787,49.53766,133.53202,-0.99856,377.21
166,63274.25587,21.024,63274.25587,63300.18149,24.05693,49.98255,298.72431,-0.40203,831.49
175,63301.33808,16.555,63301.33808,63337.23995,18.04023,53.94210,16.16782,-0.21251,54.46
184,63179.23691,21.367,63179.23691,63239.20608,20.26173,80.23090,277.92448,-1.09389,774.29
187,63239.24018,19.709,63239.24018,63300.22912,38.90020,99.88914,34.00800,-0.72482,103.52
196,63306.02649,18.684,63306.02649,63356.98969,4.92414,55.88734,215.77780,-0.11413,603.39
201,63303.27999,22.478,63303.27999,63303.28050,45.56936,45.56987,349.85751,-0.35795,972.11
206,63306.17594,15.737,63306.17594,63330.27565,43.54648,67.64619,47.45600,-0.32947,140.50
229,63184.15848,17.299,63184.15848,63245.06560,10.94615,71.85328,38.12307,-0.94557,114.84
234,63276.30152,22.775,63276.30152,63278.33447,17.69785,19.73080,335.88836,-0.35275,933.69
242,63301.07754,19.659,63301.07754,63306.02598,1.37319,6.32163,83.75067,-0.12180,240.31
246,63305.35174,17.310,63305.35174,63388.06170,0.99395,83.70391,217.11858,-0.09629,607.08
257,63184.16408,14.914,63184.16408,63245.06917,1.66751,62.57259,37.90011,-0.86368,114.23
259,63153.21348,20.524,63153.21348,63188.10004,10.14343,45.02999,213.99612,-1.34715,598.49
263,63269.17157,18.961,63269.17157,63329.00163,8.84931,68.67936,51.79390,-0.34279,152.43
282,63278.30576,16.857,63278.30576,63278.30678,79.79078,79.79181,85.22815,-0.73818,244.38
297,63184.16868,19.106,63184.16868,63190.04909,2.67447,8.55487,288.72932,-0.87213,804.01
304,63239.11663,22.665,63239.11663,63241.11594,13.56732,15.56663,308.72597,-0.55344,859.00
314,63153.16607,19.178,63153.16607,63179.08864,3.36942,29.29199,131.90128,-1.21808,372.73
321,63274.25228,18.680,63274.25228,63306.18258,59.19160,91.12191,173.12775,-0.62214,486.10
327,63327.16965,19.767,63327.16965,63388.05913,22.88376,83.77324,191.78002,-0.09669,537.40
