sid,peak_mjd,peak_mag,first_det_mjd,last_det_mjd,rise_time_days,fade_time_days,ra,dec,distance_Mpc
749,62384.41265,21.081,62384.41265,62449.30302,17.26486,82.15523,302.83333,0.38592,842.79
759,62482.32222,21.168,62482.32222,62510.30170,65.49326,93.47274,165.87706,0.41548,466.16
785,60980.01022,15.927,60980.00374,60980.01022,0.12081,0.12729,130.15299,-0.39361,367.92
808,60981.30668,20.428,60981.30668,61032.07295,7.04578,57.81205,182.62537,-0.39694,512.22
834,61947.05767,18.350,61947.05767,61977.96951,1.23519,32.14704,261.27707,0.14614,728.51
838,61559.41001,20.855,61559.41001,61559.41046,47.83079,47.83123,150.93806,-0.09239,425.08
843,61517.96543,21.279,61517.96543,61526.96037,13.33351,22.32845,146.86611,-0.09621,413.88
856,61002.10981,22.994,61002.10981,61003.17921,5.25049,6.31989,264.05817,-0.38356,736.16
866,61455.33332,21.795,61455.33332,61499.30205,34.72533,78.69406,311.60611,-0.14258,866.92
883,61271.16197,23.377,61271.16197,61288.12763,34.30646,51.27212,168.35049,-0.24520,472.96
935,61292.06262,15.746,61292.06262,61294.04995,0.55851,2.54584,74.45287,-0.21446,214.75
965,61122.40587,21.187,61122.40587,61128.36495,5.90603,11.86511,173.53107,-0.31381,487.21
980,61910.21175,22.598,61910.21175,61919.23279,10.00570,19.02675,355.89740,0.12092,988.72
989,61436.35941,21.860,61436.35941,61455.34287,75.42307,94.40653,286.00453,-0.17568,796.51
1015,61417.11023,19.009,61417.11023,61434.03458,3.59527,20.51963,63.80478,-0.14650,185.46
1016,61020.02899,20.890,61020.02899,61020.03839,44.22744,44.23684,244.11386,-0.39603,681.31
1025,62128.32331,22.606,62128.32331,62143.23549,20.03929,34.95148,108.89290,0.23682,309.46
1040,61146.99576,19.975,61146.99576,61146.99802,32.36597,32.36823,33.02052,-0.31488,100.81
1057,61909.16793,22.557,61909.16793,61911.14286,11.49196,13.46689,72.90807,0.11953,210.50
1059,61332.35040,20.506,61332.35040,61417.11165,5.21621,89.97746,252.50080,-0.19452,704.38
1145,61803.25256,17.709,61803.25256,61859.07975,15.19043,71.01762,115.75645,0.05923,328.33
